Country,Year,Feeling of happiness: Quite or very happy,Attend religious services: once a month or more,Number of children (mean),Religious person,Importance of god in life (mean),Religious faith is important for children,Thinks often or sometimes about meaning and purpose of life,Tolerance and respect for other people is important for children
Argentina,2005-2009,87.6,38.2,1.95,78.1,8.4,25.6,72.1,71.5
Australia,2005-2009,91.6,20,2.02,51.4,6.12,21,81.1,91.7
Belarus,2005-2009,-100,-100,-100,-100,-100,-100,-100,-100
Brazil,2005-2009,90.4,64.9,1.95,87.2,9.62,55.7,82.7,64.4
Canada,2005-2009,95.2,33.8,1.84,65.1,7.17,30.4,81.7,82.6
Chile,2005-2009,79.5,41.9,2.26,63.4,8.71,39.7,70.1,79.5
China,2005-2009,76.8,4.8,1.68,23,3.53,2.4,67,64.7
Czech Republic,2005-2009,-100,-100,-100,-100,-100,-100,-100,-100
Finland,2005-2009,92,14.5,1.65,58.5,6.03,12,78.6,86.7
Germany,2005-2009,81.2,18.4,1.54,40.7,4.47,9.3,69,74.6
Hungary,2005-2009,75.6,14.6,1.46,46.1,5.41,16.1,70.6,76.1
India,2005-2009,75.3,55.4,2.58,72.8,7.52,41.3,55.7,55.8
Japan,2005-2009,87.3,9.8,1.66,21.2,5.01,5.6,79.4,74.5
Mexico,2005-2009,90.7,64,2.52,74.9,9.43,38.8,79,78.1
Netherlands,2005-2009,93.9,18,1.47,50.7,4.55,9.7,79.3,85.8
New Zealand,2005-2009,96.5,19.4,2.09,45,5.35,14.6,40.1,82.5
Nigeria,2005-2009,-100,-100,-100,-100,-100,-100,-100,-100
Poland,2005-2009,87.7,75,1.66,92,8.73,46.7,71.8,84.9
Qatar,2005-2009,-100,-100,-100,-100,-100,-100,-100,-100
Romania,2005-2009,55.3,45.7,1.71,91.5,9.17,62.8,83.3,58.6
Russian Federation,2005-2009,65.7,12.3,1.33,65.3,6.12,11,75.7,68.6
Slovakia,2005-2009,-100,-100,-100,-100,-100,-100,-100,-100
South Africa,2005-2009,77.8,69.3,1.81,79.7,9.13,56.2,86.5,77.9
South Korea,2005-2009,87.4,39.1,1.68,30,5.57,21.5,87.7,56.9
Spain,2005-2009,92,22.2,1.49,44.3,5.34,11.2,63.3,71.7
Sweden,2005-2009,96.1,7.9,1.56,32.7,3.91,6.1,69.5,93.6
Switzerland,2005-2009,93.5,24.3,1.57,62.6,6.41,12.6,79.6,91.7
Tunisia,2005-2009,-100,-100,-100,-100,-100,-100,-100,-100
Turkey,2005-2009,86.1,35.3,1.88,81,9.36,42.2,88.9,70.1
United States,2005-2009,93.2,46.8,-100,69,8.22,50.6,76.6,78.3
