Country,Year,Feeling of happiness: Quite or very happy,Attend religious services: once a month or more,Number of children (mean),Religious person,Importance of god in life (mean),Religious faith is important for children,Thinks often or sometimes about meaning and purpose of life,Tolerance and respect for other people is important for children
Argentina,1999-2004,81.4,42.8,2.18,80.9,8.53,43.5,75.7,70.4
Australia,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Belarus,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Brazil,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Canada,1999-2004,95.6,35.8,1.91,72.1,7.18,30.8,83.5,80.6
Chile,1999-2004,79.9,44.7,2.18,68.8,8.75,40.3,79.5,76
China,1999-2004,77.8,3.1,1.85,13.7,-100,-100,68.8,72.6
Czech Republic,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Finland,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Germany,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Hungary,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
India,1999-2004,72.9,51.2,3.38,75,6.73,46.6,63.2,63.2
Japan,1999-2004,86.5,12.1,1.83,23.1,5.02,6.5,83.4,71.2
Mexico,1999-2004,91,74.6,2.87,75.5,9.45,53.1,73.1,70.6
Netherlands,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
New Zealand,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Nigeria,1999-2004,91.8,95.2,2.15,96.3,9.62,67.7,93.8,59.1
Poland,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Qatar,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Romania,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Russian Federation,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Slovakia,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
South Africa,1999-2004,77.3,68.4,1.8,76.8,9.09,61.4,88.3,74.1
South Korea,1999-2004,87.7,38.2,1.53,30.8,5.48,21.2,91.5,64.7
Spain,1999-2004,87,35.8,1.64,62.2,5.79,20.3,68.5,77
Sweden,1999-2004,93.4,9.4,1.51,37.1,4.1,4.9,74.3,92.5
Switzerland,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Tunisia,1999-2004,-100,-100,-100,-100,-100,-100,-100,-100
Turkey,1999-2004,77,38.9,2.41,78.8,9.22,44.1,-100,64.3
United States,1999-2004,93,60.1,1.77,81.2,8.47,52.1,88.8,79.5
