Country,Year,Feeling of happiness: Quite or very happy,Attend religious services: once a month or more,Number of children (mean),Religious person,Importance of god in life (mean),Religious faith is important for children,Thinks often or sometimes about meaning and purpose of life,Tolerance and respect for other people is important for children
Argentina,1990-1994,76.3,36.3,1.72,70.3,7.91,28.1,78.1,77.6
Australia,1990-1994,-100,-100,-100,-100,-100,-100,-100,-100
Belarus,1990-1994,43.8,6,-100,32.9,4.15,6.1,77.4,79.8
Brazil,1990-1994,75.5,50.3,1.97,87.1,9.44,46.4,71.3,65.5
Canada,1990-1994,77.6,39.7,1.83,68.9,6.91,30.5,81.1,80
Chile,1990-1994,71.8,46.4,2.03,73.9,8.62,54.1,79.5,79
China,1990-1994,66.6,0.8,1.73,4.7,1.62,1.2,78.5,61.7
Czech Republic,1990-1994,72.6,10.7,1.73,35.4,-100,9.1,72.5,64.4
Finland,1990-1994,-100,-100,-100,-100,-100,-100,-100,-100
Germany,1990-1994,-100,-100,-100,-100,-100,-100,-100,-100
Hungary,1990-1994,-100,-100,-100,-100,-100,-100,-100,-100
India,1990-1994,72,70.6,2.62,82,7.53,28.8,73.9,59.2
Japan,1990-1994,77.7,14.4,1.69,21.3,4.79,7,76.5,59.5
Mexico,1990-1994,67.6,62.3,1.86,70.9,8.13,40.3,76.3,64.3
Netherlands,1990-1994,-100,-100,-100,-100,-100,-100,-100,-100
New Zealand,1990-1994,-100,-100,-100,-100,-100,-100,-100,-100
Nigeria,1990-1994,65.5,88.2,1.85,88.7,9.73,73.8,89.4,75
Poland,1990-1994,87.6,-100,-100,-100,8.78,-100,-100,-100
Qatar,1990-1994,-100,-100,-100,-100,-100,-100,-100,-100
Romania,1990-1994,-100,-100,-100,-100,-100,-100,-100,-100
Russian Federation,1990-1994,47.2,5.9,1.54,51.9,4,8,77.2,70.2
Slovakia,1990-1994,52,40.1,1.81,65.7,-100,27.9,76.9,62.7
South Africa,1990-1994,66.3,-100,2,79.1,9.04,49.5,86.6,61.2
South Korea,1990-1994,75.2,59.7,1.66,-100,-100,18.9,94.4,55.4
Spain,1990-1994,83.6,37.1,1.71,66.4,5.95,22.2,65.9,70.3
Sweden,1990-1994,95.4,10.2,1.45,28.5,3.75,6.4,68.4,90.8
Switzerland,1990-1994,93.4,38.4,1.7,68.6,6.7,24.1,82.6,77
Tunisia,1990-1994,-100,-100,-100,-100,-100,-100,-100,-100
Turkey,1990-1994,81,37.7,2.12,72.5,8.84,44.2,80.5,69.1
United States,1990-1994,87.9,57.2,2.13,81.7,8.06,55.1,83.4,71.4
